Transaction_date,Product,Price,Payment_Type,Name,City,Country,Account_Created,Last_Login,Longitude,Latitude,US Zip,Price Squared
01/02/2009 04:53,   Product1,   1200,   Visa,   Betina,   Parkville,   United States,   1/2/2009 04:42,   1/2/2009 07:49,   -94.68194,   39.195,   64152, 1440000
01/02/2009 13:08,   Product1,   1200,   Mastercard,   Federica e Andrea,   Astoria,   United States,   1/1/2009 16:21,   1/3/2009 12:32,   -123.83,   46.18806,   97103, 1440000
01/04/2009 12:56,   Product2,   3600,   Visa,   Gerd W,   Cahaba Heights,   United States,   11/15/08 15:47,   1/4/2009 12:45,   -86.8025,   33.52056,   35243, 12960000
01/04/2009 13:19,   Product1,   1200,   Visa,   LAURENCE,   Mickleton,   United States,   9/24/08 15:19,   1/4/2009 13:04,   -75.23806,   39.79,   08056, 1440000
01/04/2009 20:11,   Product1,   1200,   Mastercard,   Fleur,   Peoria,   United States,   1/3/2009 09:38,   1/4/2009 19:45,   -89.58889,   40.69361,   61601, 1440000
01/02/2009 20:09,   Product1,   1200,   Mastercard,   adam,   Martin,   United States,   1/2/2009 17:43,   1/4/2009 20:01,   -88.85028,   36.34333,   38237, 1440000
01/05/2009 02:42,   Product1,   1200,   Diners,   Stacy,   New York,   United States,   1/5/2009 02:23,   1/5/2009 04:59,   -74.00639,   40.71417,   10002, 1440000
01/02/2009 09:16,   Product1,   1200,   Mastercard,   Sean,   Shavano Park,   United States,   1/2/2009 08:32,   1/5/2009 09:05,   -98.49333,   29.42389,   78230, 1440000
01/05/2009 10:08,   Product1,   1200,   Visa,   Georgia,   Eagle,   United States,   11/11/08 15:53,   1/5/2009 10:05,   -116.35306,   43.69556,   83616, 1440000
01/02/2009 14:18,   Product1,   1200,   Visa,   Richard,   Riverside,   United States,   12/9/08 12:07,   1/5/2009 11:01,   -74.95778,   40.03222,   08075, 1440000
01/02/2009 07:35,   Product1,   1200,   Diners,   Hani,   Salt Lake City,   United States,   12/30/08 5:44,   1/6/2009 10:52,   -111.89028,   40.76083,   84111, 1440000
01/06/2009 07:18,   Product1,   1200,   Visa,   asuman,   Chula Vista,   United States,   1/6/2009 07:07,   1/7/2009 07:08,   -117.08333,   32.64,   91910, 1440000
01/01/2009 02:24,   Product1,   1200,   Visa,   Lisa,   Sugar Land,   United States,   1/1/2009 01:56,   1/7/2009 10:52,   -95.63472,   29.61944,   77478, 1440000
01/07/2009 08:08,   Product1,   1200,   Diners,   Bryan Kerrene,   New York,   United States,   1/7/2009 07:39,   1/7/2009 12:38,   -74.00639,   40.71417,   10007, 1440000
01/01/2009 20:21,   Product1,   1200,   Visa,   Maxine,   Morton,   United States,   10/24/08 6:48,   1/7/2009 20:49,   -89.45917,   40.61278,   61550, 1440000
01/08/2009 00:42,   Product1,   1200,   Visa,   Family,   Los Gatos,   United States,   1/8/2009 00:28,   1/8/2009 03:39,   -121.97361,   37.22667,   95032, 1440000
01/08/2009 03:56,   Product1,   1200,   Mastercard,   Katherine,   New York,   United States,   1/8/2009 03:33,   1/8/2009 06:19,   -74.00639,   40.71417,   10007, 1440000
01/08/2009 03:16,   Product1,   1200,   Mastercard,   Linda,   Miami,   United States,   1/8/2009 03:06,   1/8/2009 06:34,   -80.19389,   25.77389,   33130, 1440000
01/03/2009 09:03,   Product1,   1200,   Diners,   Sheila,   Brooklyn,   United States,   1/3/2009 08:47,   1/8/2009 10:38,   -73.95,   40.65,   11226, 1440000
01/06/2009 07:46,   Product1,   1200,   Amex,   Kelly,   Reston,   United States,   1/6/2009 07:30,   1/8/2009 12:40,   -77.34139,   38.96861,   20190, 1440000
01/08/2009 16:24,   Product1,   1200,   Visa,   jennifer,   Phoenix,   United States,   1/8/2009 15:57,   1/8/2009 18:30,   -112.07333,   33.44833,   85004, 1440000
01/09/2009 06:39,   Product1,   1200,   Mastercard,   Anneli,   Houston,   United States,   1/9/2009 05:09,   1/9/2009 07:11,   -95.36306,   29.76306,   77002, 1440000
01/06/2009 22:19,   Product2,   3600,   Amex,   Ritz,   Pittsfield,   United States,   1/6/2009 12:00,   1/9/2009 10:05,   -72.81333,   43.77222,   05762, 12960000
01/06/2009 23:00,   Product2,   3600,   Amex,   Sylvia,   Pittsfield,   United States,   1/6/2009 12:00,   1/9/2009 10:05,   -72.81333,   43.77222,   05762, 12960000
01/07/2009 07:44,   Product1,   1200,   Mastercard,   Marie,   Ball Ground,   United States,   1/7/2009 05:35,   1/9/2009 10:52,   -84.37667,   34.33806,   30107, 1440000
01/07/2009 15:12,   Product2,   3600,   Visa,   Anabela,   Flossmoor,   United States,   1/5/2009 19:55,   1/9/2009 16:03,   -87.68472,   41.54278,   60422, 12960000
01/07/2009 20:15,   Product1,   1200,   Amex,   Nicole,   Houston,   United States,   1/7/2009 17:17,   1/9/2009 20:02,   -95.36306,   29.76306,   77002, 1440000
01/03/2009 10:11,   Product2,   3600,   Visa,   Christiane,   Delray Beach,   United States,   1/3/2009 09:27,   1/10/2009 09:46,   -80.07306,   26.46111,   33444, 12960000
01/10/2009 12:57,   Product1,   1200,   Amex,   Vanessa,   Sandy Springs,   United States,   2/7/07 20:16,   1/10/2009 14:09,   -84.37861,   33.92417,   30328, 1440000
01/10/2009 12:05,   Product1,   1200,   Visa,   Karina,   Fort Lauderdale,   United States,   7/1/08 12:53,   1/10/2009 16:33,   -80.14361,   26.12194,   33301, 1440000
01/10/2009 14:56,   Product1,   1200,   Visa,   Angela,   Ankeny,   United States,   1/8/2009 03:06,   1/10/2009 19:41,   -93.60556,   41.72972,   50023, 1440000
01/07/2009 10:01,   Product1,   1200,   Visa,   Darren,   Pittsboro,   United States,   1/7/2009 09:04,   1/10/2009 20:02,   -79.1775,   35.72,   27312, 1440000
01/01/2009 01:26,   Product1,   1200,   Mastercard,   Nikki,   New Rochelle,   United States,   1/1/2009 00:58,   1/10/2009 21:31,   -73.78278,   40.91139,   10801, 1440000
01/07/2009 06:18,   Product1,   1200,   Mastercard,   June,   Beachwood,   United States,   2/23/06 11:56,   1/11/2009 19:35,   -81.50889,   41.46444,   44122, 1440000
01/12/2009 03:25,   Product1,   1200,   Mastercard,   chrissy,   W Lebanon,   United States,   1/12/2009 03:12,   1/12/2009 03:22,   -72.31083,   43.64917,   03784, 1440000
01/08/2009 15:16,   Product1,   1200,   Visa,   Dottie,   Woodsboro,   United States,   1/8/2009 14:56,   1/12/2009 09:29,   -77.315,   39.53306,   21798, 1440000
